status,gene-symbol,gene-name,ensembl-id,chromosome,genetic-category,gene-score,syndromic,eagle,number-of-reports
9,ABAT,"4-aminobutyrate aminotransferase",,16,"Rare Single Gene Mutation, Genetic Association",2,0,,9
9,ABCA10,"ATP-binding cassette, sub-family A (ABC1), member 10",,17,"Rare Single Gene Mutation",2,0,,4
9,ABCA13,"ATP binding cassette subfamily A member 13",,7,"Rare Single Gene Mutation, Functional",2,0,,16
9,ABCA2,"ATP binding cassette subfamily A member 2",,9,"Rare Single Gene Mutation",3,0,,8
9,ABCA7,"ATP-binding cassette, sub-family A (ABC1), member 7",,19,"Rare Single Gene Mutation",2,0,,7
9,ABCE1,"ATP binding cassette subfamily E member 1",,4,"Rare Single Gene Mutation",1,0,1.4,5
9,ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",,1,"Rare Single Gene Mutation, Functional",3,0,,10
9,ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",,3,"Rare Single Gene Mutation, Functional",2,0,,5
9,ACE,"angiotensin I converting enzyme",,17,"Rare Single Gene Mutation, Genetic Association",2,0,,6
9,ACHE,"Acetylcholinesterase (Yt blood group)",,7,"Rare Single Gene Mutation",2,0,,7
9,ACTB,"actin beta",,7,"Rare Single Gene Mutation, Syndromic",1,1,1,12
9,ACTL6B,"actin like 6B",,7,"Rare Single Gene Mutation, Syndromic, Functional",,1,,16
9,ACTN4,"actinin alpha 4",,19,"Rare Single Gene Mutation",2,0,,7
9,ACY1,"aminoacylase 1",,3,"Rare Single Gene Mutation, Syndromic",,1,,13
9,ADA,"adenosine deaminase",,20,"Rare Single Gene Mutation, Genetic Association",2,0,,8
9,ADCY1,"adenylate cyclase 1",,7,"Rare Single Gene Mutation",3,0,,4
9,ADCY3,"adenylate cyclase 3",,2,"Rare Single Gene Mutation",2,0,,4
9,ADCY5,"Adenylate cyclase 5",,3,"Rare Single Gene Mutation",2,0,,13
9,ADGRB1,"adhesion G protein-coupled receptor B1",,8,"Rare Single Gene Mutation, Functional",3,0,,11
9,ADGRL1,"adhesion G protein-coupled receptor L1",,19,"Rare Single Gene Mutation, Syndromic",3,1,,5
9,ADK,"adenosine kinase",,10,"Rare Single Gene Mutation",2,0,,2
9,ADNP,"Activity-dependent neuroprotector homeobox",,20,"Rare Single Gene Mutation, Syndromic, Functional",1,1,41.5,100
9,ADORA3,"Adenosine A3 receptor",,1,"Rare Single Gene Mutation, Functional",2,0,,4
9,ADSL,"adenylosuccinate lyase",,22,"Rare Single Gene Mutation, Syndromic",1,1,0.35,9
9,ADSS2,"adenylosuccinate synthase 2",,1,"Rare Single Gene Mutation",2,0,,3
9,AFF2,"AF4/FMR2 family, member 2",,X,"Rare Single Gene Mutation, Syndromic",1,0,8.7,25
9,AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",,2,"Rare Single Gene Mutation",2,0,,10
